cid	canonicalsmiles
11652085	COC(=O)C(CC1=CC=C(C=C1)C2=CNN=C2)N
11701139	C1=CC=C(C=C1)COC(=O)CNN
20713065	C1=CC=C(C=C1)COC(=O)CNN=C(N)N
84733164	C1=CC=C(C=C1)COC(=O)CCNN
11701101	C1=CC=C(C=C1)COC(=O)CN
10797159	C1=CC=C(C=C1)COC(=O)CN
10725758	C1=CC=C(C=C1)COC(=O)CN
927308	C1=CC(=CC(=C1)NCC2=CC=CS2)C(=O)O
409140	C1=CC=C(C=C1)COC(=O)CN
101383098	C1=CC=C(C=C1)COC(=O)CN
29195012	C1=CC=C(C=C1)COC(=O)CNC(=O)C2=CN=CC=C2
8545283	C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CN2
64525682	C1=CC=C(C=C1)CNC(=O)CNC(=O)C2=CC(=NN2)N
321244	C1=CC=C(C=C1)COC(=O)CNO
1116164	C1=CC=C(C=C1)COC(=O)CCN
121605064	C1=CC=C(C=C1)COC(=O)C(C2=CN=CC=C2)N
20192652	C1=CC=C(C=C1)COC(=O)CNF
10377496	CC(=O)COC(=O)C1=CC2=C(N1)C=CC(=C2)Cl
10063123	CC(=O)COC(=O)C1=CC2=C(N1)C=CC(=C2)Br
59404483	C1=CC=C(C=C1)COC(=O)CCN
165919155	C1=CC=C(C=C1)COC(=O)NC(CO)C2=CN=CC=C2
165932794	C1=CC=C(C=C1)COC(=O)NCC(=O)C2=CN=CC=C2
143087551	C1=CC=C(C=C1)COC(=O)CNCl
124927654	C1=CC=C(C=C1)COC(=O)CNCC2=CN=CC=C2
155418082	C1=CC=C(C=C1)COC(=O)NC(C=O)C2=CN=CC=C2
9117170	CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)CC2=CSC=C2
113000133	CCN(CC)C1=CC=C(C=C1)NC(=O)CNC(=O)CC2=CC=CC=C2C
23999615	C1=CC(=CN=C1)C(=O)COC(=O)C2=CC=C(C=C2)N
18956023	COC1=CC=C(C=C1)COC(=O)CN
19604183	COC(=O)C(CC1=CC=C(C=C1)C2=CN=CC=C2)N
10444633	CC(=O)COC(=O)C1=CC2=C(N1)C=CC(=C2)OC
17437271	COC1=CC=CC(=C1)C(=O)COC(=O)C2=CC(=CN2)Cl
17467652	COC1=CC=CC(=C1)C(=O)COC(=O)C2=CC(=CN2)Br
131871258	COC(=O)C(CC1=CC=C(C=C1)C2=CN=CC=C2)N
165919043	C1=CC=C(C=C1)COC(=O)NCC(CO)C2=CN=CC=C2
165933079	C1=CC=C(C=C1)COC(=O)NCC(=O)C2=CN=CS2
165938553	C1=CC=C(C=C1)COC(=O)NC(CCO)C2=CN=CC=C2
68647504	CC(=O)COC(=O)C1=CC(=NN1)C2=CC=C(C=C2)Br
78815411	CCNC(=O)CN(CC)CC1=CC=C(C=C1)C2=CC=CC=C2
113000118	CCN(CC)C1=CC=C(C=C1)NC(=O)CNC(=O)CC2=CC=CS2
121604735	C1=CC=C(C=C1)COC(=O)C(CC2=CN=CC=C2)N
121604736	C1=CC=C(C=C1)COC(=O)C(CC2=CN=CC=C2)N
