Ligand ID,Mode,Affinity (kcal/mol),RMSD Lower Bound,RMSD Upper Bound
ligand_61075335_docking,1,-6.364,0.0,0.0
ligand_61075335_docking,2,-5.687,2.367,5.799
ligand_61075335_docking,3,-5.401,11.71,14.28
ligand_61075335_docking,4,-5.233,3.304,5.04
ligand_61075335_docking,5,-5.12,10.31,12.64
ligand_61075335_docking,6,-5.074,9.461,12.08
ligand_61075335_docking,7,-5.05,10.3,13.58
ligand_61075335_docking,8,-4.975,2.301,3.951
ligand_61075335_docking,9,-4.957,10.98,13.21
ligand_54597095_docking,1,-7.214,0.0,0.0
ligand_54597095_docking,2,-6.157,3.966,6.466
ligand_54597095_docking,3,-5.885,1.668,2.66
ligand_54597095_docking,4,-5.7,3.623,5.169
ligand_54597095_docking,5,-5.563,3.313,5.055
ligand_54597095_docking,6,-5.55,9.624,12.28
ligand_54597095_docking,7,-5.548,3.337,5.098
ligand_54597095_docking,8,-5.352,3.94,5.703
ligand_54597095_docking,9,-5.263,11.25,14.41
ligand_113000252_docking,1,-8.037,0.0,0.0
ligand_113000252_docking,2,-7.98,5.324,7.466
ligand_113000252_docking,3,-7.688,5.758,6.854
ligand_113000252_docking,4,-7.439,8.553,12.63
ligand_113000252_docking,5,-7.439,6.093,8.853
ligand_113000252_docking,6,-7.416,4.764,6.399
ligand_113000252_docking,7,-7.351,4.666,6.383
ligand_113000252_docking,8,-7.221,5.657,6.7
ligand_113000252_docking,9,-7.145,8.869,13.13
ligand_8543960_docking,1,-7.896,0.0,0.0
ligand_8543960_docking,2,-7.724,1.387,1.98
ligand_8543960_docking,3,-6.95,1.439,6.309
ligand_8543960_docking,4,-6.885,1.351,1.81
ligand_8543960_docking,5,-6.653,2.68,3.274
ligand_8543960_docking,6,-6.603,1.475,6.417
ligand_8543960_docking,7,-6.343,2.104,6.64
ligand_8543960_docking,8,-6.151,11.72,15.24
ligand_8543960_docking,9,-6.127,4.182,7.534
ligand_8841753_docking,1,-6.385,0.0,0.0
ligand_8841753_docking,2,-6.282,1.837,2.429
ligand_8841753_docking,3,-6.169,2.465,4.818
ligand_8841753_docking,4,-5.907,1.834,4.219
ligand_8841753_docking,5,-5.901,2.066,2.865
ligand_8841753_docking,6,-5.802,2.669,8.958
ligand_8841753_docking,7,-5.731,3.17,10.0
ligand_8841753_docking,8,-5.605,2.727,5.451
ligand_8841753_docking,9,-5.57,3.666,6.531
ligand_133905040_docking,1,-7.043,0.0,0.0
ligand_133905040_docking,2,-6.906,3.18,4.27
ligand_133905040_docking,3,-6.866,2.708,3.604
