Ligand ID,Mode,Affinity (kcal/mol),RMSD Lower Bound,RMSD Upper Bound
ligand_8842407_docking,1,-10.31,0.0,0.0
ligand_8842407_docking,2,-9.841,4.778,9.676
ligand_8842407_docking,3,-9.408,4.635,9.218
ligand_8842407_docking,4,-9.407,1.347,2.078
ligand_8842407_docking,5,-8.467,4.634,7.699
ligand_8842407_docking,6,-8.268,5.736,10.12
ligand_8842407_docking,7,-8.267,6.464,10.6
ligand_8842407_docking,8,-8.191,6.455,10.4
ligand_8842407_docking,9,-7.782,4.565,7.33
ligand_56295120_docking,1,-9.697,0.0,0.0
ligand_56295120_docking,2,-9.413,12.35,16.02
ligand_56295120_docking,3,-8.92,11.48,14.0
ligand_56295120_docking,4,-8.72,11.34,14.5
ligand_56295120_docking,5,-8.595,11.08,14.56
ligand_56295120_docking,6,-8.508,6.38,9.642
ligand_56295120_docking,7,-8.496,13.28,16.21
ligand_56295120_docking,8,-8.405,11.42,14.48
ligand_56295120_docking,9,-8.405,11.18,14.25
ligand_45861272_docking,1,-10.45,0.0,0.0
ligand_45861272_docking,2,-9.969,2.638,3.373
ligand_45861272_docking,3,-9.729,1.954,8.868
ligand_45861272_docking,4,-9.675,5.581,12.79
ligand_45861272_docking,5,-9.42,3.093,9.599
ligand_45861272_docking,6,-9.221,4.069,9.905
ligand_45861272_docking,7,-9.146,3.045,8.611
ligand_45861272_docking,8,-9.14,3.353,8.492
ligand_45861272_docking,9,-9.055,3.067,8.822
ligand_155792348_docking,1,-10.58,0.0,0.0
ligand_155792348_docking,2,-10.44,2.01,3.023
ligand_155792348_docking,3,-10.04,3.272,11.36
ligand_155792348_docking,5,-9.887,3.764,9.692
ligand_155792348_docking,6,-9.784,3.255,10.37
ligand_155792348_docking,7,-9.505,5.845,10.49
ligand_155792348_docking,8,-9.407,3.307,11.82
ligand_155792348_docking,9,-9.23,6.975,14.48
ligand_54811489_docking,1,-10.7,0.0,0.0
ligand_54811489_docking,2,-10.6,1.516,8.512
ligand_54811489_docking,3,-10.3,3.952,5.84
ligand_54811489_docking,4,-10.2,9.466,14.69
ligand_54811489_docking,5,-10.06,1.73,2.687
ligand_54811489_docking,6,-9.983,0.9735,1.73
ligand_54811489_docking,7,-9.915,1.795,2.622
ligand_54811489_docking,8,-9.828,1.932,2.302
ligand_54811489_docking,9,-9.631,2.178,9.56
ligand_54844164_docking,1,-11.2,0.0,0.0
ligand_54844164_docking,2,-10.09,6.134,13.69
ligand_54844164_docking,3,-9.925,1.737,2.084
ligand_54844164_docking,4,-9.783,6.796,14.87
ligand_54844164_docking,5,-9.776,8.81,13.99
ligand_54844164_docking,6,-9.656,9.471,14.53
ligand_54844164_docking,7,-9.504,9.351,14.29
ligand_54844164_docking,8,-9.293,9.489,14.91
ligand_54844164_docking,9,-9.044,8.918,12.96
ligand_54844255_docking,1,-10.74,0.0,0.0
ligand_54844255_docking,2,-10.67,3.624,10.74
ligand_54844255_docking,3,-10.05,2.24,3.234
ligand_54844255_docking,4,-9.845,4.342,10.2
ligand_54844255_docking,5,-9.682,4.322,8.187
ligand_54844255_docking,6,-9.649,6.132,10.15
ligand_54844255_docking,7,-9.645,3.064,4.407
ligand_54844255_docking,8,-9.515,6.158,10.12
ligand_54844255_docking,9,-9.42,6.521,10.59
ligand_54841777_docking,1,-9.994,0.0,0.0
ligand_54841777_docking,2,-9.805,1.889,2.569
ligand_54841777_docking,3,-9.653,3.889,7.092
ligand_54841777_docking,4,-9.559,3.827,6.919
ligand_54841777_docking,5,-9.376,3.893,7.41
ligand_54841777_docking,6,-9.154,3.884,6.826
ligand_54841777_docking,7,-8.895,3.867,7.244
ligand_54841777_docking,8,-8.85,3.361,5.892
ligand_54841777_docking,9,-8.828,3.763,7.278
ligand_155792345_docking,1,-10.73,0.0,0.0
ligand_155792345_docking,2,-10.7,1.521,2.298
ligand_155792345_docking,3,-10.53,2.56,4.421
ligand_155792345_docking,4,-10.39,2.321,3.441
ligand_155792345_docking,5,-9.975,2.209,10.6
ligand_155792345_docking,6,-9.818,4.757,13.45
ligand_155792345_docking,7,-9.618,5.112,9.616
ligand_155792345_docking,8,-9.475,5.872,13.52
ligand_155792345_docking,9,-9.443,4.086,9.154
ligand_8171885_docking,1,-10.57,0.0,0.0
ligand_8171885_docking,2,-10.11,1.425,2.25
ligand_8171885_docking,3,-9.56,2.815,9.212
ligand_8171885_docking,4,-9.503,1.763,9.896
ligand_8171885_docking,5,-9.45,3.451,9.279
ligand_8171885_docking,6,-9.024,4.674,9.356
ligand_8171885_docking,7,-8.872,3.028,11.13
ligand_8171885_docking,8,-8.782,5.812,9.061
ligand_8171885_docking,9,-8.575,5.503,9.702
